Symbol,Name,Sector,CurrentPrice,ClosedPrice
MMM,3M Company provides diversified technology services in the United States and internationally. The company operates through four segments: Safety and Industrial; Transportation and Electronics; Health Care; and Consumer. The Safety and Industrial segment offers industrial abrasives and finishing for metalworking applications; autobody repair solutions; closure systems for personal hygiene products,Conglomerates,100.59,101.0
AOS,A. O. Smith Corporation manufactures and markets residential and commercial gas,Specialty Industrial Machinery,65.86,66.29
ABT,Abbott Laboratories,Medical Devices,97.2,97.04
ABBV,AbbVie Inc. discovers,Drug Manufacturers—General,156.215,155.3
ACN,Accenture plc,Information Technology Services,269.72,271.66
ATVI,Activision Blizzard,Electronic Gaming & Multimedia,83.87,79.68
ADBE,Adobe Inc.,Software—Infrastructure,370.9,369.0
AAP,Advance Auto Parts,Specialty Retail,109.82,111.14
AES,The AES Corporation operates as a diversified power generation and utility company. It owns and/or operates power plants to generate and sell power to customers,Utilities—Diversified,21.752,21.96
AFL,Aflac Incorporated,Insurance—Life,61.9,62.53
A,Agilent Technologies,Diagnostics & Research,129.82,131.13
APD,Air Products and Chemicals,Specialty Chemicals,266.98,266.94
AKAM,Akamai Technologies,Software—Infrastructure,75.0,75.05
ALB,Albemarle Corporation develops,Specialty Chemicals,212.51,215.64
ARE,Alexandria Real Estate Equities,REIT—Office,116.125,116.06
ALLE,Allegion plc manufactures and sells mechanical and electronic security products and solutions worldwide. The company offers door controls and systems and exit devices; locks,Security & Protection Services,99.94,102.27
LNT,Alliant Energy Corporation operates as a utility holding company that provides regulated electricity and natural gas services. It operates through three segments: Utility Electric Operations,Utilities—Regulated Electric,50.87,50.04
ALL,The Allstate Corporation,Insurance—Property & Casualty,103.935,105.58
GOOGL,Alphabet Inc. offers various products and platforms in the United States,Internet Content & Information,104.12,105.6
MO,Altria Group,Tobacco,43.58,43.46
AMZN,Amazon.com,Internet Retail,97.005,98.71
AEE,Ameren Corporation,Utilities—Regulated Electric,82.645,80.61
AAL,American Airlines Group Inc.,Airlines,13.42,13.63
AEP,American Electric Power Company,Utilities—Regulated Electric,87.12,85.41
AXP,American Express Company,Credit Services,158.42,162.76
AIG,American International Group,Insurance—Diversified,46.17,47.16
AMT,American Tower Corporation,REIT—Specialty,193.46,191.62
AWK,American Water Works Company,Utilities—Regulated Water,139.4,136.72
AMP,Ameriprise Financial,Asset Management,284.565,297.16
ABC,AmerisourceBergen Corporation sources and distributes pharmaceutical products. Its U.S. Healthcare Solutions segment distributes brand-name and generic pharmaceuticals,Medical Distribution,153.92,150.93
AME,AMETEK,Specialty Industrial Machinery,137.19,138.35
AMGN,Amgen Inc. discovers,Drug Manufacturers—General,235.198,233.1
APH,Amphenol Corporation,Electronic Components,77.45,78.38
ANSS,ANSYS,Software—Application,312.38,314.65
APA,APA Corporation,Oil & Gas E&P,33.81,34.01
AAPL,Apple Inc. designs,Consumer Electronics,158.255,158.93
AMAT,Applied Materials,Semiconductor Equipment & Materials,118.715,122.78
APTV,Aptiv PLC engages in design,Auto Parts,106.13,107.7
ADM,Archer-Daniels-Midland Company procures,Farm Products,75.62,75.13
